국가별,시점,디플레이터
유럽,2002,
유럽,2003,
유럽,2004,
유럽,2005,
유럽,2006,
유럽,2007,
유럽,2008,
유럽,2009,
유럽,2010,
유럽,2011,
유럽,2012,
유럽,2013,
유럽,2014,
유럽,2015,
유럽,2016,
유럽,2017,
유럽,2018,
유럽,2019,
유럽,2020,
오스트리아,2000,84.1
오스트리아,2001,85.7
오스트리아,2002,86.7
오스트리아,2003,87.8
오스트리아,2004,89.4
오스트리아,2005,91.6
오스트리아,2006,93.4
오스트리아,2007,95.4
오스트리아,2008,97.3
오스트리아,2009,99.1
오스트리아,2010,100
오스트리아,2011,101.8
오스트리아,2012,103.9
오스트리아,2013,105.6
오스트리아,2014,107.9
오스트리아,2015,110.4
오스트리아,2016,112.4
오스트리아,2017,113.4
오스트리아,2018,115.3
오스트리아,2019,117.3
오스트리아,2020,118.8
벨기에,2000,83.7
벨기에,2001,85.3
벨기에,2002,86.7
벨기에,2003,88.3
벨기에,2004,90
벨기에,2005,91.9
벨기에,2006,94
벨기에,2007,95.8
벨기에,2008,97.6
벨기에,2009,98.1
벨기에,2010,100
벨기에,2011,101.8
벨기에,2012,103.8
벨기에,2013,105.1
벨기에,2014,106.2
벨기에,2015,107.6
벨기에,2016,109.6
벨기에,2017,111.6
벨기에,2018,113.5
벨기에,2019,115.3
벨기에,2020,116.6
체코,2000,81.8
체코,2001,85.8
체코,2002,88.2
체코,2003,89.3
체코,2004,92.9
체코,2005,93
체코,2006,93.6
체코,2007,96.9
체코,2008,98.9
체코,2009,101.4
체코,2010,100
체코,2011,100
체코,2012,101.4
체코,2013,102.8
체코,2014,105.5
체코,2015,106.5
체코,2016,107.7
체코,2017,109.1
체코,2018,111.9
체코,2019,116.3
체코,2020,121.4
덴마크,2000,79.1
덴마크,2001,81.1
덴마크,2002,83
덴마크,2003,84.2
덴마크,2004,86
덴마크,2005,88.5
덴마크,2006,90.3
덴마크,2007,92.5
덴마크,2008,96.4
덴마크,2009,96.9
덴마크,2010,100
덴마크,2011,100.6
덴마크,2012,103
덴마크,2013,103.9
덴마크,2014,105
덴마크,2015,105.5
덴마크,2016,105.7
덴마크,2017,107
덴마크,2018,107.8
덴마크,2019,108.6
덴마크,2020,111.4
에스토니아,2000,58.2
에스토니아,2001,62.2
에스토니아,2002,65.2
에스토니아,2003,67.7
에스토니아,2004,70.9
에스토니아,2005,75.1
에스토니아,2006,81.9
에스토니아,2007,92
에스토니아,2008,98.4
에스토니아,2009,98.2
에스토니아,2010,100
에스토니아,2011,105.4
에스토니아,2012,109.6
에스토니아,2013,114.1
에스토니아,2014,117.4
에스토니아,2015,118.8
에스토니아,2016,121.4
에스토니아,2017,125.2
에스토니아,2018,130.5
에스토니아,2019,134.7
에스토니아,2020,134.1
핀란드,2000,86.4
핀란드,2001,89.3
핀란드,2002,90.1
핀란드,2003,90.3
핀란드,2004,90.8
핀란드,2005,91.7
핀란드,2006,92.5
핀란드,2007,95.1
핀란드,2008,97.9
핀란드,2009,99.7
핀란드,2010,100
핀란드,2011,102.6
핀란드,2012,105.7
핀란드,2013,108.4
핀란드,2014,110.1
핀란드,2015,111.9
핀란드,2016,112
핀란드,2017,112.9
핀란드,2018,115.1
핀란드,2019,116.9
핀란드,2020,118.8
프랑스,2000,83.9
프랑스,2001,85.6
프랑스,2002,87.4
프랑스,2003,89
프랑스,2004,90.4
프랑스,2005,92.2
프랑스,2006,94.2
프랑스,2007,96.6
프랑스,2008,98.9
프랑스,2009,98.9
프랑스,2010,100
프랑스,2011,100.9
프랑스,2012,102.1
프랑스,2013,102.9
프랑스,2014,103.5
프랑스,2015,104.7
프랑스,2016,105.2
프랑스,2017,105.8
프랑스,2018,106.8
프랑스,2019,108.2
프랑스,2020,110.9
독일,2000,89.6
독일,2001,90.7
