국가별,시점,부채비율
벨기에,2017,120.862
벨기에,2018,117.727
벨기에,2019,120.287
벨기에,2020,142.446
체코,2000,24.316
체코,2001,28.278
체코,2002,30.585
체코,2003,33.317
체코,2004,32.902
체코,2005,32.401
체코,2006,31.972
체코,2007,30.561
체코,2008,32.965
체코,2009,39.66
체코,2010,44.059
체코,2011,46.983
체코,2012,56.23
체코,2013,55.97
체코,2014,54.843
체코,2015,51.707
체코,2016,47.433
체코,2017,43.328
체코,2018,39.738
체코,2019,37.732
체코,2020,46.989
덴마크,2000,60.456
덴마크,2001,58.277
덴마크,2002,58.147
덴마크,2003,56.069
덴마크,2004,52.336
덴마크,2005,45.119
덴마크,2006,40.493
덴마크,2007,34.594
덴마크,2008,41.94
덴마크,2009,49.267
덴마크,2010,53.441
덴마크,2011,60.111
덴마크,2012,60.615
덴마크,2013,56.732
덴마크,2014,59.142
덴마크,2015,53.428
덴마크,2016,51.506
덴마크,2017,48.985
덴마크,2018,47.178
덴마크,2019,47.766
덴마크,2020,58.986
에스토니아,2000,6.788
에스토니아,2001,6.649
에스토니아,2002,7.534
에스토니아,2003,8.352
에스토니아,2004,8.349
에스토니아,2005,8.25
에스토니아,2006,8.115
에스토니아,2007,7.196
에스토니아,2008,8.461
에스토니아,2009,12.68
에스토니아,2010,11.815
에스토니아,2011,9.391
에스토니아,2012,13.018
에스토니아,2013,13.502
에스토니아,2014,13.724
에스토니아,2015,12.634
에스토니아,2016,13.581
에스토니아,2017,13.089
에스토니아,2018,12.94
에스토니아,2019,13.388
핀란드,2000,50.943
핀란드,2001,48.341
핀란드,2002,48.172
핀란드,2003,49.136
핀란드,2004,49.31
핀란드,2005,46.447
핀란드,2006,43.011
핀란드,2007,38.992
핀란드,2008,38.17
핀란드,2009,49.036
핀란드,2010,54.808
핀란드,2011,57.236
핀란드,2012,63.989
핀란드,2013,64.522
핀란드,2014,71.269
핀란드,2015,75.231
핀란드,2016,75.609
핀란드,2017,73.041
핀란드,2018,69.878
핀란드,2019,69.793
핀란드,2020,81.587
프랑스,2000,72.429
프랑스,2001,71.473
프랑스,2002,75.162
프랑스,2003,79.078
프랑스,2004,80.549
프랑스,2005,82.142
프랑스,2006,77.269
프랑스,2007,75.942
프랑스,2008,82.503
프랑스,2009,97.573
프랑스,2010,100.995
프랑스,2011,103.807
프랑스,2012,111.938
프랑스,2013,112.468
프랑스,2014,120.155
프랑스,2015,120.825
프랑스,2016,123.671
프랑스,2017,122.944
프랑스,2018,121.225
프랑스,2019,123.358
독일,2000,62.609
독일,2001,61.261
독일,2002,64.099
독일,2003,66.92
독일,2004,68.859
독일,2005,71.428
독일,2006,68.792
독일,2007,66.181
독일,2008,70.71
독일,2009,77.579
독일,2010,87.406
독일,2011,86.409
독일,2012,88.858
독일,2013,84.328
독일,2014,84.107
독일,2015,80.045
독일,2016,77.221
독일,2017,72.786
독일,2018,69.588
독일,2019,68.228
그리스,2000,112.566
그리스,2001,116.265
그리스,2002,117.505
그리스,2003,111.032
그리스,2004,115.329
그리스,2005,116.87
그리스,2006,115.539
그리스,2007,113.001
그리스,2008,117.643
그리스,2009,135.517
그리스,2010,130.357
그리스,2011,113.575
그리스,2012,167.083
그리스,2013,181.648
그리스,2014,182.958
그리스,2015,184.448
그리스,2016,189.224
그리스,2017,192.727
그리스,2018,199.17
그리스,2019,200.684
그리스,2020,236.462
헝가리,2000,61.556
헝가리,2001,59.491
헝가리,2002,60.635
헝가리,2003,61.376
헝가리,2004,64.782
헝가리,2005,67.709
헝가리,2006,70.957
헝가리,2007,71.976
헝가리,2008,75.837
헝가리,2009,85.107
헝가리,2010,86.232
헝가리,2011,95.264
헝가리,2012,98.675
헝가리,2013,97.393
헝가리,2014,100.809
헝가리,2015,98.905
헝가리,2016,98.763
헝가리,2017,93.121
헝가리,2018,86.565
헝가리,2019,83.492
헝가리,2020,97.539
아이슬란드,2003,65.338
아이슬란드,2004,59.083
아이슬란드,2005,49.374
아이슬란드,2006,53.572
아이슬란드,2007,49.024
아이슬란드,2008,92.839
아이슬란드,2009,106.886
아이슬란드,2010,110.323
아이슬란드,2011,117.603
아이슬란드,2012,115.66
아이슬란드,2013,106.949
아일랜드,2000,38.676
아일랜드,2001,35.506
아일랜드,2002,34.059
아일랜드,2003,32.848
아일랜드,2004,31.496
아일랜드,2005,31.309
아일랜드,2006,27.653
아일랜드,2007,27.475
아일랜드,2008,47.595
아일랜드,2009,67.774
아일랜드,2010,83.677
아일랜드,2011,111.099
아일랜드,2012,129.146
아일랜드,2013,132.113
아일랜드,2014,121.47
아일랜드,2015,88.444
아일랜드,2016,85.153
아일랜드,2017,76.622
아일랜드,2018,74.592
아일랜드,2019,68.725
이탈리아,2000,118.367
이탈리아,2001,117.281
이탈리아,2002,116.217
이탈리아,2003,113.862
이탈리아,2004,114.514
이탈리아,2005,117.211
이탈리아,2006,114.63
이탈리아,2007,110.232
이탈리아,2008,112.527
이탈리아,2009,125.51
이탈리아,2010,124.332
이탈리아,2011,117.203
이탈리아,2012,135.375
이탈리아,2013,143.172
이탈리아,2014,155.633
이탈리아,2015,156.853
이탈리아,2016,154.55
이탈리아,2017,151.998
이탈리아,2018,146.789
이탈리아,2019,154.505
라트비아,2000,14.475
라트비아,2001,15.869
라트비아,2002,15.889
라트비아,2003,17.03
라트비아,2004,18.138
라트비아,2005,14.948
라트비아,2006,14.908
라트비아,2007,13.027
라트비아,2008,23.204
라트비아,2009,42.181
라트비아,2010,53.998
라트비아,2011,49.644
라트비아,2012,48.709
라트비아,2013,45.547
라트비아,2014,50.894
라트비아,2015,46.13
라트비아,2016,49.716
라트비아,2017,47.029
라트비아,2018,45.648
라트비아,2019,47.204
리투아니아,2000,34.479
리투아니아,2001,33.541
리투아니아,2002,32.021
리투아니아,2003,28.59
리투아니아,2004,27.294
리투아니아,2005,24.923
리투아니아,2006,21.976
리투아니아,2007,19.404
리투아니아,2008,17.136
리투아니아,2009,34.18
리투아니아,2010,45.471
리투아니아,2011,45.683
리투아니아,2012,51.186
리투아니아,2013,47.921
리투아니아,2014,52.587
리투아니아,2015,53.339
리투아니아,2016,50.889
리투아니아,2017,47.002
리투아니아,2018,40.673
리투아니아,2019,44.537
룩셈부르크,2000,17.774
룩셈부르크,2001,18.121
룩셈부르크,2002,18.174
룩셈부르크,2003,19.448
룩셈부르크,2004,20.275
룩셈부르크,2005,18.915
룩셈부르크,2006,17.807
룩셈부르크,2007,17.36
룩셈부르크,2008,25.806
룩셈부르크,2009,23.903
룩셈부르크,2010,29.003
룩셈부르크,2011,27.823
룩셈부르크,2012,29.71
룩셈부르크,2013,30.221
룩셈부르크,2014,30.55
룩셈부르크,2015,30.471
룩셈부르크,2016,27.866
룩셈부르크,2017,29.652
룩셈부르크,2018,28.836
룩셈부르크,2019,29.958
네덜란드,2000,62.151
네덜란드,2001,58.224
네덜란드,2002,58.698
네덜란드,2003,59.753
네덜란드,2004,60.074
네덜란드,2005,59.293
네덜란드,2006,53.089
네덜란드,2007,50.5
네덜란드,2008,62.822
네덜란드,2009,65.325
네덜란드,2010,69.513
네덜란드,2011,73.729
