국가별,시점,외환보유액,금제외
영국,2004,62138,57741
영국,2005,59135,54009
영국,2006,63824,57483
영국,2007,77743,69399
영국,2008,64738,56110
영국,2009,79618,68606
영국,2010,98073,84006
영국,2011,109734,94462
영국,2012,117093,100559
영국,2013,118750,106735
영국,2014,124488,112458
영국,2015,148129,137535
영국,2016,135044,123500
영국,2017,150803,137924
영국,2018,172681,159872
영국,2019,173568,158376
영국,2020,180129,161188
유로지역,1999,373681,256780
유로지역,2000,351980,242327
유로지역,2001,346050,234931
유로지역,2002,383933,247168
유로지역,2003,387351,223145
유로지역,2004,382790,211971
유로지역,2005,377530,184714
유로지역,2006,429171,197006
유로지역,2007,511156,215296
유로지역,2008,520781,218717
유로지역,2009,666063,282777
유로지역,2010,789546,300243
유로지역,2011,862814,316705
유로지역,2012,909438,332541
유로지역,2013,747360,330961
유로지역,2014,743401,327597
유로지역,2015,701396,333872
유로지역,2016,745796,344413
유로지역,2017,803032,353249
유로지역,2018,823167,378391
유로지역,2019,913603,386571
유로지역,2020,1079105,422968
오세아니아,1995,,
오세아니아,1996,,
오세아니아,1997,,
오세아니아,1998,,
오세아니아,1999,,
오세아니아,2000,,
오세아니아,2001,,
오세아니아,2002,,
오세아니아,2003,,
오세아니아,2004,,
오세아니아,2005,,
오세아니아,2006,,
오세아니아,2007,,
오세아니아,2008,,
오세아니아,2009,,
오세아니아,2010,,
오세아니아,2011,,
오세아니아,2012,,
오세아니아,2013,,
오세아니아,2014,,
오세아니아,2015,,
오세아니아,2016,,
오세아니아,2017,,
오세아니아,2018,,
오세아니아,2019,,
오세아니아,2020,,
오스트레일리아,1995,14951,11896
오스트레일리아,1996,17402,14485
오스트레일리아,1997,17586,16845
오스트레일리아,1998,15377,14640
오스트레일리아,1999,21956,21212
오스트레일리아,2000,18817,18118
오스트레일리아,2001,18664,17955
오스트레일리아,2002,21567,20689
오스트레일리아,2003,33258,32189
오스트레일리아,2004,36926,35803
오스트레일리아,2005,43257,41941
오스트레일리아,2006,55079,53448
오스트레일리아,2007,26908,24768
오스트레일리아,2008,32924,30691
오스트레일리아,2009,41742,38950
오스트레일리아,2010,42268,38659
오스트레일리아,2011,46826,42783
오스트레일리아,2012,49147,44866
오스트레일리아,2013,52801,49745
오스트레일리아,2014,53893,50814
오스트레일리아,2015,45718,43059
오스트레일리아,2016,53586,50872
오스트레일리아,2017,66584,63561
오스트레일리아,2018,53875,51048
오스트레일리아,2019,58742,56364
오스트레일리아,2020,43006,39620
뉴질랜드,1995,4410,4410
뉴질랜드,1996,5953,5953
뉴질랜드,1997,4451,4451
뉴질랜드,1998,4204,4204
뉴질랜드,1999,4455,4455
뉴질랜드,2000,3952,3952
뉴질랜드,2001,3565,3565
뉴질랜드,2002,4963,4963
뉴질랜드,2003,6085,6085
뉴질랜드,2004,6947,6947
뉴질랜드,2005,8893,8893
뉴질랜드,2006,14068,14068
뉴질랜드,2007,17247,17247
뉴질랜드,2008,11052,11052
뉴질랜드,2009,15594,15594
뉴질랜드,2010,16723,16723
뉴질랜드,2011,17012,17012
뉴질랜드,2012,17583,17583
뉴질랜드,2013,16318,16318
뉴질랜드,2014,15861,15861
뉴질랜드,2015,14700,14700
뉴질랜드,2016,17808,17808
뉴질랜드,2017,20684,20684
뉴질랜드,2018,17657,17657
뉴질랜드,2019,17814,17814
뉴질랜드,2020,13733,13733
