국가별,시점,생산자물가지수
유럽,2009,
유럽,2010,
유럽,2011,
유럽,2012,
유럽,2013,
유럽,2014,
유럽,2015,
유럽,2016,
유럽,2017,
유럽,2018,
유럽,2019,
유럽,2020,
오스트리아,2000,88
오스트리아,2001,88.2
오스트리아,2002,87.2
오스트리아,2003,87.2
오스트리아,2004,88.7
오스트리아,2005,91.4
오스트리아,2006,93
오스트리아,2007,95.5
오스트리아,2008,98.9
오스트리아,2009,97.3
오스트리아,2010,100
오스트리아,2011,104.1
오스트리아,2012,105
오스트리아,2013,104
오스트리아,2014,102.9
오스트리아,2015,101.4
오스트리아,2016,99.5
오스트리아,2017,101.5
오스트리아,2018,103.9
오스트리아,2019,104
오스트리아,2020,102.4
벨기에,2000,72.9
벨기에,2001,74.5
벨기에,2002,74.7
벨기에,2003,73.8
벨기에,2004,79.4
벨기에,2005,84.2
벨기에,2006,89.4
벨기에,2007,91.4
벨기에,2008,98.8
벨기에,2009,93.4
벨기에,2010,100
벨기에,2011,108.9
벨기에,2012,113
벨기에,2013,112.4
벨기에,2014,108.5
벨기에,2015,106.3
벨기에,2016,104.8
벨기에,2017,113.7
벨기에,2018,119.6
벨기에,2019,120.9
벨기에,2020,116.4
체코,2000,83.2
체코,2001,85.5
체코,2002,85
체코,2003,84.8
체코,2004,89.6
체코,2005,92.3
체코,2006,93.7
체코,2007,97.6
체코,2008,102
체코,2009,98.8
체코,2010,100
체코,2011,105.5
체코,2012,107.8
체코,2013,108.6
체코,2014,107.8
체코,2015,104.4
체코,2016,101
체코,2017,102.8
체코,2018,104.9
체코,2019,107.6
체코,2020,107.8
덴마크,2000,72.3
덴마크,2001,75.1
덴마크,2002,76.5
덴마크,2003,76.2
덴마크,2004,78
덴마크,2005,84.2
덴마크,2006,90.4
덴마크,2007,92.2
덴마크,2008,103.9
덴마크,2009,93.1
덴마크,2010,100
덴마크,2011,108.6
덴마크,2012,111.1
덴마크,2013,112.9
덴마크,2014,111.8
덴마크,2015,107.7
덴마크,2016,106.2
덴마크,2017,108.8
덴마크,2018,113.5
덴마크,2019,112.8
덴마크,2020,109.7
에스토니아,2000,74.7
에스토니아,2001,77.3
에스토니아,2002,76.5
에스토니아,2003,76.6
에스토니아,2004,78.8
에스토니아,2005,80.5
에스토니아,2006,84
에스토니아,2007,91
에스토니아,2008,97.4
에스토니아,2009,96.8
에스토니아,2010,100
에스토니아,2011,104.4
에스토니아,2012,106.8
에스토니아,2013,111.2
에스토니아,2014,109.5
에스토니아,2015,107.3
에스토니아,2016,106.5
에스토니아,2017,110.3
에스토니아,2018,113.2
에스토니아,2019,113
에스토니아,2020,110.3
핀란드,2000,97.2
핀란드,2001,95
핀란드,2002,91.9
핀란드,2003,90
핀란드,2004,90.2
핀란드,2005,92.2
핀란드,2006,95.7
핀란드,2007,98
핀란드,2008,102.1
핀란드,2009,95.1
핀란드,2010,100
핀란드,2011,105.6
핀란드,2012,107
핀란드,2013,106.6
핀란드,2014,105.6
핀란드,2015,103.6
핀란드,2016,101.2
