국가별,시점,경제활동참가율 (%)
오스트리아,2005,58.6
오스트리아,2006,59.1
오스트리아,2007,59.9
오스트리아,2008,60.2
오스트리아,2009,60.5
오스트리아,2010,60.4
오스트리아,2011,60.5
오스트리아,2012,60.8
오스트리아,2013,60.9
오스트리아,2014,60.7
오스트리아,2015,60.7
오스트리아,2016,61.2
오스트리아,2017,61.2
오스트리아,2018,61.4
오스트리아,2019,61.4
오스트리아,2020,60.8
벨기에,2000,52.3
벨기에,2001,50.9
벨기에,2002,51.2
벨기에,2003,51.4
벨기에,2004,52
벨기에,2005,53.3
벨기에,2006,53.1
벨기에,2007,53.6
벨기에,2008,53.7
벨기에,2009,53.5
벨기에,2010,54.1
벨기에,2011,53.2
벨기에,2012,53.3
벨기에,2013,53.6
벨기에,2014,53.5
벨기에,2015,53.3
벨기에,2016,53.1
벨기에,2017,53.8
벨기에,2018,54.2
벨기에,2019,54.4
벨기에,2020,53.8
체코,2000,60.1
체코,2001,59.6
체코,2002,59.5
체코,2003,59.2
체코,2004,59
체코,2005,59.4
체코,2006,59.3
체코,2007,58.8
체코,2008,58.5
체코,2009,58.7
체코,2010,58.4
체코,2011,58.3
체코,2012,58.6
체코,2013,59.3
체코,2014,59.3
체코,2015,59.4
체코,2016,59.9
체코,2017,60.2
체코,2018,60.6
체코,2019,60.4
체코,2020,59.8
덴마크,2000,65.5
덴마크,2001,65.2
덴마크,2002,65.6
덴마크,2003,65.5
덴마크,2004,65.9
덴마크,2005,65.7
덴마크,2006,65.9
덴마크,2007,65.7
덴마크,2008,65.1
덴마크,2009,64.4
덴마크,2010,63.5
덴마크,2011,63.1
덴마크,2012,62.3
덴마크,2013,61.4
덴마크,2014,61.3
덴마크,2015,61.3
덴마크,2016,61.7
덴마크,2017,61.7
덴마크,2018,61.8
덴마크,2019,62.4
덴마크,2020,62
에스토니아,2000,58.9
에스토니아,2001,58.2
에스토니아,2002,57.2
에스토니아,2003,59
에스토니아,2004,59.1
에스토니아,2005,58.7
에스토니아,2006,60.6
에스토니아,2007,60.6
에스토니아,2008,61.1
