국가별,시점,국민부담률
벨기에,2019,42.9
체코,2000,32.3
체코,2001,32.4
체코,2002,33.3
체코,2003,34.1
체코,2004,34.5
체코,2005,34.2
체코,2006,33.8
체코,2007,34.1
체코,2008,33.3
체코,2009,32.1
체코,2010,32.2
체코,2011,33
체코,2012,33.4
체코,2013,33.7
체코,2014,32.9
체코,2015,33.1
체코,2016,34
체코,2017,34.4
체코,2018,35
체코,2019,34.9
덴마크,2000,46.9
덴마크,2001,45.9
덴마크,2002,45.4
덴마크,2003,45.6
덴마크,2004,46.4
덴마크,2005,48
덴마크,2006,46.5
덴마크,2007,46.4
덴마크,2008,44.8
덴마크,2009,45
덴마크,2010,44.8
덴마크,2011,44.8
덴마크,2012,45.5
덴마크,2013,45.9
덴마크,2014,48.5
덴마크,2015,46.1
덴마크,2016,45.5
덴마크,2017,45.8
덴마크,2018,44.4
덴마크,2019,46.3
에스토니아,2000,31
에스토니아,2001,30.3
에스토니아,2002,31
에스토니아,2003,30.8
에스토니아,2004,31
에스토니아,2005,29.8
에스토니아,2006,30.5
에스토니아,2007,31
에스토니아,2008,31.2
에스토니아,2009,34.8
에스토니아,2010,32.9
에스토니아,2011,31.2
에스토니아,2012,31.5
에스토니아,2013,31.5
에스토니아,2014,31.9
에스토니아,2015,33.1
에스토니아,2016,33.2
에스토니아,2017,32.5
에스토니아,2018,32.9
에스토니아,2019,33.1
핀란드,2000,45.8
핀란드,2001,43.1
핀란드,2002,43.3
핀란드,2003,42.3
핀란드,2004,41.7
핀란드,2005,42
핀란드,2006,42.1
핀란드,2007,41.4
핀란드,2008,41.1
핀란드,2009,40.8
핀란드,2010,40.6
핀란드,2011,41.8
핀란드,2012,42.4
핀란드,2013,43.4
핀란드,2014,43.5
핀란드,2015,43.5
핀란드,2016,43.7
핀란드,2017,42.9
핀란드,2018,42.4
핀란드,2019,42.2
프랑스,2000,43.4
프랑스,2001,43.1
프랑스,2002,42.4
프랑스,2003,42.2
프랑스,2004,42.4
프랑스,2005,42.9
프랑스,2006,43.3
프랑스,2007,42.5
프랑스,2008,42.3
프랑스,2009,41.5
프랑스,2010,42.1
프랑스,2011,43.3
프랑스,2012,44.4
프랑스,2013,45.4
프랑스,2014,45.4
프랑스,2015,45.3
프랑스,2016,45.4
프랑스,2017,46.1
프랑스,2018,45.9
프랑스,2019,45.4
독일,2000,36.4
독일,2001,35.1
독일,2002,34.6
독일,2003,34.7
독일,2004,34.3
독일,2005,34.4
독일,2006,34.9
독일,2007,35.4
독일,2008,35.8
독일,2009,36.7
독일,2010,35.5
독일,2011,36.1
독일,2012,36.8
독일,2013,37
독일,2014,36.8
독일,2015,37.3
독일,2016,37.7
독일,2017,37.8
독일,2018,38.5
독일,2019,38.8
그리스,2000,33.4
그리스,2001,31.9
그리스,2002,33.1
그리스,2003,31.5
그리스,2004,30.5
그리스,2005,31.9
그리스,2006,31.1
그리스,2007,31.8
그리스,2008,31.8
그리스,2009,30.8
그리스,2010,32
그리스,2011,33.6
그리스,2012,35.8
그리스,2013,35.7
그리스,2014,36
그리스,2015,36.4
그리스,2016,38.4
그리스,2017,38.6
그리스,2018,38.9
그리스,2019,38.7
헝가리,2000,38.6
헝가리,2001,37.7
헝가리,2002,37.4
헝가리,2003,37.3
헝가리,2004,37.1
헝가리,2005,36.6
헝가리,2006,36.4
헝가리,2007,39.4
헝가리,2008,39.4
헝가리,2009,38.9
헝가리,2010,37.2
헝가리,2011,36.6
헝가리,2012,39.2
