국가별,시점,인당_국민총소득
벨기에,2001,23352
벨기에,2002,25239
벨기에,2003,31043
벨기에,2004,35654
벨기에,2005,37015
벨기에,2006,38965
벨기에,2007,44577
벨기에,2008,48962
벨기에,2009,45147
벨기에,2010,44643
벨기에,2011,47529
벨기에,2012,45799
벨기에,2013,47919
벨기에,2014,48649
벨기에,2015,41521
벨기에,2016,42301
벨기에,2017,44314
벨기에,2018,47793
벨기에,2019,46774
체코,2000,5892
체코,2001,6416
체코,2002,7729
체코,2003,9447
체코,2004,11147
체코,2005,12752
체코,2006,14229
체코,2007,17179
체코,2008,21332
체코,2009,18413
체코,2010,18357
체코,2011,19972
체코,2012,18469
체코,2013,18726
체코,2014,18410
체코,2015,16520
체코,2016,17236
체코,2017,19383
체코,2018,22015
체코,2019,22010
덴마크,2000,30035
덴마크,2001,30302
덴마크,2002,32834
덴마크,2003,40123
덴마크,2004,46584
덴마크,2005,49173
덴마크,2006,52589
덴마크,2007,58690
덴마크,2008,64991
덴마크,2009,58709
덴마크,2010,58915
덴마크,2011,62916
덴마크,2012,59622
덴마크,2013,62869
덴마크,2014,64587
덴마크,2015,54839
덴마크,2016,56171
덴마크,2017,59207
덴마크,2018,63763
덴마크,2019,62449
덴마크,2020,63135
에스토니아,2000,3911
에스토니아,2001,4274
에스토니아,2002,5047
에스토니아,2003,6775
에스토니아,2004,8408
에스토니아,2005,9927
에스토니아,2006,11918
에스토니아,2007,15403
에스토니아,2008,17237
에스토니아,2009,14329
에스토니아,2010,13989
에스토니아,2011,16729
에스토니아,2012,16806
에스토니아,2013,18698
에스토니아,2014,19765
에스토니아,2015,17139
에스토니아,2016,18017
에스토니아,2017,19886
에스토니아,2018,22692
에스토니아,2019,23203
핀란드,2000,24080
핀란드,2001,24877
핀란드,2002,26885
핀란드,2003,32574
핀란드,2004,37867
핀란드,2005,39107
핀란드,2006,41474
핀란드,2007,48474
핀란드,2008,53583
핀란드,2009,47851
핀란드,2010,47040
핀란드,2011,51261
핀란드,2012,47927
핀란드,2013,50083
핀란드,2014,50764
핀란드,2015,43193
핀란드,2016,43964
핀란드,2017,46294
핀란드,2018,50150
핀란드,2019,48849
핀란드,2020,49488
프랑스,2000,23448
프랑스,2001,23597
프랑스,2002,25247
프랑스,2003,30952
프랑스,2004,35339
프랑스,2005,36547
프랑스,2006,38449
프랑스,2007,43802
프랑스,2008,47934
프랑스,2009,44003
프랑스,2010,42999
프랑스,2011,46463
프랑스,2012,43145
프랑스,2013,44982
프랑스,2014,45394
프랑스,2015,38646
프랑스,2016,39024
프랑스,2017,40826
프랑스,2018,43824
프랑스,2019,42558
독일,2000,23737
독일,2001,23700
독일,2002,25102
독일,2003,30274
독일,2004,34615
독일,2005,35162
독일,2006,37348
독일,2007,42704
독일,2008,46449
독일,2009,42947
독일,2010,42863
독일,2011,47496
독일,2012,44607
독일,2013,47049
