국가별,시점,소비자물가지수
코스타리카,2007,77.4
코스타리카,2008,87.8
코스타리카,2009,94.6
코스타리카,2010,100
코스타리카,2011,104.9
코스타리카,2012,109.6
코스타리카,2013,115.3
코스타리카,2014,120.5
코스타리카,2015,121.5
코스타리카,2016,121.5
코스타리카,2017,123.5
코스타리카,2018,126.2
코스타리카,2019,128.8
코스타리카,2020,129.8
유럽,2000,
유럽,2001,
유럽,2002,
유럽,2003,
유럽,2004,
유럽,2005,
유럽,2006,
유럽,2007,
유럽,2008,
유럽,2009,
유럽,2010,
유럽,2011,
유럽,2012,
유럽,2013,
유럽,2014,
유럽,2015,
유럽,2016,
유럽,2017,
유럽,2018,
유럽,2019,
유럽,2020,
오스트리아,2000,82.6
오스트리아,2001,84.8
오스트리아,2002,86.3
오스트리아,2003,87.5
오스트리아,2004,89.3
오스트리아,2005,91.4
오스트리아,2006,92.7
오스트리아,2007,94.7
오스트리아,2008,97.7
오스트리아,2009,98.2
오스트리아,2010,100
오스트리아,2011,103.3
오스트리아,2012,105.9
오스트리아,2013,108
오스트리아,2014,109.7
오스트리아,2015,110.7
오스트리아,2016,111.7
오스트리아,2017,114
오스트리아,2018,116.3
오스트리아,2019,118.1
오스트리아,2020,119.7
벨기에,2000,81.4
벨기에,2001,83.4
벨기에,2002,84.8
벨기에,2003,86.2
벨기에,2004,88
벨기에,2005,90.4
벨기에,2006,92
벨기에,2007,93.7
벨기에,2008,97.9
벨기에,2009,97.9
벨기에,2010,100
벨기에,2011,103.5
벨기에,2012,106.5
벨기에,2013,107.7
벨기에,2014,108
벨기에,2015,108.6
벨기에,2016,110.8
벨기에,2017,113.1
벨기에,2018,115.5
벨기에,2019,117.1
벨기에,2020,118
체코,2000,77.8
체코,2001,81.4
체코,2002,83
체코,2003,83.1
체코,2004,85.4
체코,2005,87
체코,2006,89.2
체코,2007,91.7
체코,2008,97.6
체코,2009,98.5
체코,2010,100
체코,2011,101.9
체코,2012,105.3
체코,2013,106.8
체코,2014,107.1
체코,2015,107.5
체코,2016,108.2
체코,2017,110.9
체코,2018,113.3
체코,2019,116.5
체코,2020,120.2
덴마크,2000,81.7
덴마크,2001,83.6
덴마크,2002,85.6
덴마크,2003,87.4
덴마크,2004,88.4
덴마크,2005,90
덴마크,2006,91.7
덴마크,2007,93.3
덴마크,2008,96.5
덴마크,2009,97.7
덴마크,2010,100
덴마크,2011,102.8
덴마크,2012,105.2
덴마크,2013,106.1
덴마크,2014,106.7
덴마크,2015,107.1
덴마크,2016,107.4
덴마크,2017,108.6
덴마크,2018,109.5
덴마크,2019,110.3
덴마크,2020,110.8
에스토니아,2000,66.5
에스토니아,2001,70.3
에스토니아,2002,72.8
에스토니아,2003,73.8
에스토니아,2004,76
에스토니아,2005,79.1
에스토니아,2006,82.6
에스토니아,2007,88.1
에스토니아,2008,97.2
에스토니아,2009,97.1
에스토니아,2010,100
에스토니아,2011,105
에스토니아,2012,109.1
에스토니아,2013,112.1
에스토니아,2014,112
에스토니아,2015,111.5
에스토니아,2016,111.6
에스토니아,2017,115.5
에스토니아,2018,119.4
에스토니아,2019,122.1
에스토니아,2020,121.6
핀란드,2000,86.1
핀란드,2001,88.3
핀란드,2002,89.7
핀란드,2003,90.5
핀란드,2004,90.6
핀란드,2005,91.2
핀란드,2006,92.6
핀란드,2007,95
핀란드,2008,98.8
핀란드,2009,98.8
핀란드,2010,100
핀란드,2011,103.4
핀란드,2012,106.3
핀란드,2013,107.9
핀란드,2014,109
핀란드,2015,108.8
핀란드,2016,109.2
핀란드,2017,110
핀란드,2018,111.2
핀란드,2019,112.3
핀란드,2020,112.7
프랑스,2000,84.4
프랑스,2001,85.8
프랑스,2002,87.4
프랑스,2003,89.3
프랑스,2004,91.2
프랑스,2005,92.8
프랑스,2006,94.3
프랑스,2007,95.7
프랑스,2008,98.4
프랑스,2009,98.5
프랑스,2010,100
프랑스,2011,102.1
프랑스,2012,104.1
프랑스,2013,105
프랑스,2014,105.5
프랑스,2015,105.6
프랑스,2016,105.8
프랑스,2017,106.9
프랑스,2018,108.8
프랑스,2019,110
프랑스,2020,110.6
독일,2000,85.7
독일,2001,87.4
독일,2002,88.6
독일,2003,89.6
독일,2004,91
독일,2005,92.5
독일,2006,93.9
독일,2007,96.1
독일,2008,98.6
독일,2009,98.9
독일,2010,100
독일,2011,102.1
독일,2012,104.1
독일,2013,105.7
독일,2014,106.7
독일,2015,107.2
독일,2016,107.7
독일,2017,109.4
독일,2018,111.2
독일,2019,112.9
독일,2020,113.4
그리스,2000,72.2
그리스,2001,74.6
그리스,2002,77.3
그리스,2003,80.1
그리스,2004,82.4
그리스,2005,85.3
그리스,2006,88
그리스,2007,90.6
그리스,2008,94.4
그리스,2009,95.5
그리스,2010,100
그리스,2011,103.3
그리스,2012,104.9
그리스,2013,103.9
그리스,2014,102.6
그리스,2015,100.8
그리스,2016,99.9
그리스,2017,101.1
그리스,2018,101.7
그리스,2019,101.9
그리스,2020,100.7
헝가리,2000,57.9
헝가리,2001,63.2
헝가리,2002,66.5
헝가리,2003,69.6
헝가리,2004,74.3
헝가리,2005,76.9
헝가리,2006,79.9
헝가리,2007,86.3
헝가리,2008,91.5
헝가리,2009,95.4
헝가리,2010,100
헝가리,2011,103.9
헝가리,2012,109.8
헝가리,2013,111.7
헝가리,2014,111.5
헝가리,2015,111.4
헝가리,2016,111.8
헝가리,2017,114.5
헝가리,2018,117.7
헝가리,2019,121.6
헝가리,2020,125.7
아이슬란드,2000,54.7
아이슬란드,2001,58.2
아이슬란드,2002,61.3
아이슬란드,2003,62.5
아이슬란드,2004,64.5
아이슬란드,2005,67.1
아이슬란드,2006,71.6
아이슬란드,2007,75.2
아이슬란드,2008,84.7
아이슬란드,2009,94.9
아이슬란드,2010,100
아이슬란드,2011,104
아이슬란드,2012,109.4
아이슬란드,2013,113.6
아이슬란드,2014,116
아이슬란드,2015,117.8
아이슬란드,2016,119.8
아이슬란드,2017,122
아이슬란드,2018,125.2
아이슬란드,2019,129
아이슬란드,2020,132.7
아일랜드,2000,78.4
아일랜드,2001,82.2
아일랜드,2002,86
아일랜드,2003,89
아일랜드,2004,90.9
아일랜드,2005,93.1
아일랜드,2006,96.8
아일랜드,2007,101.5
아일랜드,2008,105.7
아일랜드,2009,100.9
아일랜드,2010,100
아일랜드,2011,102.6
아일랜드,2012,104.3
아일랜드,2013,104.8
아일랜드,2014,105
아일랜드,2015,104.7
아일랜드,2016,104.7
아일랜드,2017,105.1
아일랜드,2018,105.6
아일랜드,2019,106.6
아일랜드,2020,106.2
이탈리아,2000,80.7
이탈리아,2001,83
이탈리아,2002,85
이탈리아,2003,87.3
이탈리아,2004,89.2
이탈리아,2005,91
이탈리아,2006,92.9
이탈리아,2007,94.6
이탈리아,2008,97.7
이탈리아,2009,98.5
이탈리아,2010,100
이탈리아,2011,102.8
이탈리아,2012,105.9
이탈리아,2013,107.2
이탈리아,2014,107.5
이탈리아,2015,107.5
이탈리아,2016,107.4
이탈리아,2017,108.7
이탈리아,2018,110
이탈리아,2019,110.6
이탈리아,2020,110.5
라트비아,2000,59.2
라트비아,2001,60.6
라트비아,2002,61.8
라트비아,2003,63.6
라트비아,2004,67.6
라트비아,2005,72.1
라트비아,2006,76.9
라트비아,2007,84.6
라트비아,2008,97.6
라트비아,2009,101.1
라트비아,2010,100
라트비아,2011,104.4
라트비아,2012,106.7
라트비아,2013,106.7
라트비아,2014,107.4
라트비아,2015,107.5
라트비아,2016,107.7
라트비아,2017,110.9
라트비아,2018,113.7
라트비아,2019,116.9
라트비아,2020,117.1
리투아니아,2000,74.4
리투아니아,2001,75.4
리투아니아,2002,75.6
리투아니아,2003,74.8
리투아니아,2004,75.6
리투아니아,2005,77.7
리투아니아,2006,80.6
리투아니아,2007,85.2
리투아니아,2008,94.5
리투아니아,2009,98.7
리투아니아,2010,100
리투아니아,2011,104.1
리투아니아,2012,107.3
리투아니아,2013,108.5
리투아니아,2014,108.6
리투아니아,2015,107.6
리투아니아,2016,108.6
리투아니아,2017,112.6
리투아니아,2018,115.7
리투아니아,2019,118.4
리투아니아,2020,119.8
룩셈부르크,2000,80.1
룩셈부르크,2001,82.2
룩셈부르크,2002,83.9
룩셈부르크,2003,85.6
룩셈부르크,2004,87.5
룩셈부르크,2005,89.7
룩셈부르크,2006,92.1
룩셈부르크,2007,94.2
룩셈부르크,2008,97.4
룩셈부르크,2009,97.8
룩셈부르크,2010,100
룩셈부르크,2011,103.4
룩셈부르크,2012,106.2
룩셈부르크,2013,108
룩셈부르크,2014,108.7
룩셈부르크,2015,109.2
룩셈부르크,2016,109.5
룩셈부르크,2017,111.4
룩셈부르크,2018,113.1
룩셈부르크,2019,115.1
룩셈부르크,2020,116
네덜란드,2000,81.9
네덜란드,2001,85.4
네덜란드,2002,88.2
네덜란드,2003,90
네덜란드,2004,91.1
네덜란드,2005,92.7
네덜란드,2006,93.7
네덜란드,2007,95.2
네덜란드,2008,97.6
네덜란드,2009,98.7
네덜란드,2010,100
네덜란드,2011,102.3
네덜란드,2012,104.9
네덜란드,2013,107.5
네덜란드,2014,108.5
네덜란드,2015,109.2
네덜란드,2016,109.5
네덜란드,2017,111
네덜란드,2018,112.9
네덜란드,2019,115.9
네덜란드,2020,117.4
노르웨이,2000,81.9
노르웨이,2001,84.4
노르웨이,2002,85.5
노르웨이,2003,87.6
노르웨이,2004,88
노르웨이,2005,89.3
노르웨이,2006,91.4
노르웨이,2007,92.1
노르웨이,2008,95.5
노르웨이,2009,97.6
노르웨이,2010,100
노르웨이,2011,101.3
노르웨이,2012,102
노르웨이,2013,104.2
노르웨이,2014,106.3
노르웨이,2015,108.6
노르웨이,2016,112.4
노르웨이,2017,114.6
노르웨이,2018,117.7
노르웨이,2019,120.3
노르웨이,2020,121.8
폴란드,2000,76
폴란드,2001,80.2
폴란드,2002,81.7
폴란드,2003,82.2
폴란드,2004,85
폴란드,2005,86.9
폴란드,2006,88
폴란드,2007,90.2
폴란드,2008,93.9
폴란드,2009,97.5
폴란드,2010,100
폴란드,2011,104.2
폴란드,2012,108
폴란드,2013,109
폴란드,2014,109.1
폴란드,2015,108.1
폴란드,2016,107.4
폴란드,2017,109.6
폴란드,2018,111.6
폴란드,2019,114.1
폴란드,2020,118
포르투갈,2000,78.5
포르투갈,2001,82
포르투갈,2002,84.9
포르투갈,2003,87.6
