국가별,시점,신용등급점수
모로코,2006,10
모로코,2007,10.5
모로코,2008,10
모로코,2009,10
모로코,2010,11
모로코,2011,11
모로코,2012,11
모로코,2013,10
모로코,2014,10.5
모로코,2015,10.5
모로코,2016,10.5
모로코,2017,10
모로코,2018,10.5
모로코,2019,11
모로코,2020,10.67
모리셔스,2005,12
모리셔스,2006,12
모리셔스,2007,12
모리셔스,2008,12
모리셔스,2009,12
모리셔스,2010,12
모리셔스,2011,12
모리셔스,2012,12.5
모리셔스,2013,12.5
모리셔스,2014,12.5
모리셔스,2015,12.5
모리셔스,2016,12.5
모리셔스,2017,12.5
모리셔스,2018,12.5
모리셔스,2019,12.5
모리셔스,2020,13
모잠비크,2005,6
모잠비크,2006,6
모잠비크,2007,7
모잠비크,2008,7
모잠비크,2009,7
모잠비크,2010,7
모잠비크,2011,6
모잠비크,2012,6
모잠비크,2013,7
모잠비크,2014,6
모잠비크,2015,5.6
모잠비크,2016,3.08
모잠비크,2017,0
모잠비크,2018,0
모잠비크,2019,3
모잠비크,2020,3
몰도바,2005,4
몰도바,2006,4
몰도바,2007,4
몰도바,2008,4
몰도바,2009,3.5
몰도바,2010,5
몰도바,2011,5
몰도바,2012,5
몰도바,2013,5
몰도바,2014,5
몰도바,2015,5
몰도바,2016,5
몰도바,2017,5
몰도바,2018,5
몰도바,2019,5
몰도바,2020,5
몰타,2005,15
몰타,2006,14
몰타,2007,15
몰타,2008,16
몰타,2009,16
몰타,2010,16
몰타,2011,15
몰타,2012,14
몰타,2013,14
몰타,2014,14
몰타,2015,14
몰타,2016,14.5
몰타,2017,15
몰타,2018,15
몰타,2019,15.5
몰타,2020,15
미국,2005,20
미국,2006,20
미국,2007,20
미국,2008,20
미국,2009,20
미국,2010,20
미국,2011,19.88
미국,2012,19.88
미국,2013,20
미국,2014,20
미국,2015,20
미국,2016,20
미국,2017,20
미국,2018,20
미국,2019,20
미국,2020,20
바하마,2005,14
바하마,2006,14
바하마,2007,14
바하마,2008,14
바하마,2009,13
바하마,2010,13
바하마,2011,13
바하마,2012,12.5
바하마,2013,12.5
바하마,2014,12
바하마,2015,11.5
바하마,2016,11
바하마,2017,11
바하마,2018,11
바하마,2019,11
바하마,2020,9.4
베넹,2005,6
베넹,2006,6
베넹,2007,6
베넹,2008,6
베넹,2009,6
베넹,2010,6
베넹,2011,6
베넹,2012,6
베넹,2013,6
베넹,2014,6
베넹,2015,6
베넹,2016,6
베넹,2017,6
베넹,2018,7
베넹,2019,6
베넹,2020,6
베트남,2005,8
베트남,2006,8
베트남,2007,8
베트남,2008,8
베트남,2009,8
베트남,2010,7.75
베트남,2011,8
베트남,2012,7
베트남,2013,7
베트남,2014,7.33
베트남,2015,7.33
베트남,2016,7.33
베트남,2017,7.5
베트남,2018,8.5
베트남,2019,8.5
베트남,2020,9
벨기에,2005,18
벨기에,2006,19
벨기에,2007,19
벨기에,2008,19
벨기에,2009,19
벨기에,2010,19
벨기에,2011,18.43
벨기에,2012,18
벨기에,2013,18
벨기에,2014,18
벨기에,2015,18
벨기에,2016,17
벨기에,2017,17
벨기에,2018,17
벨기에,2019,17
벨기에,2020,18
벨리즈,2005,3
벨리즈,2006,0
벨리즈,2007,5
벨리즈,2008,5
벨리즈,2009,5
벨리즈,2010,5
벨리즈,2011,5.33
벨리즈,2012,1.83
벨리즈,2013,4
벨리즈,2014,5
벨리즈,2015,5
벨리즈,2016,2.5
벨리즈,2017,2.5
벨리즈,2018,2.5
벨리즈,2019,2.5
벨리즈,2020,2.17
보스니아 헤르체고비나,2005,5
보스니아 헤르체고비나,2006,5.5
보스니아 헤르체고비나,2007,5.5
보스니아 헤르체고비나,2008,7
보스니아 헤르체고비나,2009,7
보스니아 헤르체고비나,2010,7
보스니아 헤르체고비나,2011,6.33
보스니아 헤르체고비나,2012,5.33
보스니아 헤르체고비나,2013,5.33
보스니아 헤르체고비나,2014,5.33
보스니아 헤르체고비나,2015,5.33
보스니아 헤르체고비나,2016,5.33
보스니아 헤르체고비나,2017,5.33
보스니아 헤르체고비나,2018,5.33
보스니아 헤르체고비나,2019,6
보스니아 헤르체고비나,2020,6
보츠와나,2005,15
보츠와나,2006,15
보츠와나,2007,15
보츠와나,2008,15
보츠와나,2009,15
보츠와나,2010,14.5
보츠와나,2011,15
보츠와나,2012,15
보츠와나,2013,15
보츠와나,2014,15
보츠와나,2015,15
보츠와나,2016,14
보츠와나,2017,14
보츠와나,2018,14
보츠와나,2019,14
보츠와나,2020,13.67
사우디 아라비아,2005,13
사우디 아라비아,2006,15.2
사우디 아라비아,2007,16.33
사우디 아라비아,2008,16.33
사우디 아라비아,2009,17
사우디 아라비아,2010,17
사우디 아라비아,2011,17
사우디 아라비아,2012,17
사우디 아라비아,2013,17
사우디 아라비아,2014,17.5
사우디 아라비아,2015,17.33
사우디 아라비아,2016,15.67
사우디 아라비아,2017,16
사우디 아라비아,2018,16
사우디 아라비아,2019,15
사우디 아라비아,2020,15.5
세르비아,2005,8
세르비아,2006,8
세르비아,2007,8
세르비아,2008,8
세르비아,2009,8
세르비아,2010,8
세르비아,2011,9
세르비아,2012,8
세르비아,2013,7
세르비아,2014,7.5
세르비아,2015,7.5
세르비아,2016,7.75
세르비아,2017,8.67
세르비아,2018,9
