국가별,시점,수출,수입
코스타리카,2001,5060,6571
코스타리카,2002,5289,7315
코스타리카,2003,6164,7906
코스타리카,2004,6441,8293
코스타리카,2005,7151,9641
코스타리카,2006,8453,12741
코스타리카,2007,9569,14096
코스타리카,2008,9606,15289
코스타리카,2009,8837,11554
코스타리카,2010,9045,13921
코스타리카,2011,10224,18265
코스타리카,2012,11267,18316
코스타리카,2013,11480,18128
코스타리카,2014,11250,17558
코스타리카,2015,9422,16274
코스타리카,2016,10500,16143
코스타리카,2017,10913,16796
코스타리카,2018,11521,18247
코스타리카,2019,11864,17573
코스타리카,2020,12443,15237
유럽,2000,,
유럽,2001,,
유럽,2002,,
유럽,2003,,
유럽,2004,,
유럽,2005,,
유럽,2006,,
유럽,2007,,
유럽,2008,,
유럽,2009,,
유럽,2010,,
유럽,2011,,
유럽,2012,,
유럽,2013,,
유럽,2014,,
유럽,2015,,
유럽,2016,,
유럽,2017,,
유럽,2018,,
유럽,2019,,
유럽,2020,,
오스트리아,2000,67479,72143
오스트리아,2001,70782,74689
오스트리아,2002,78716,78308
오스트리아,2003,97255,99615
오스트리아,2004,118359,119961
오스트리아,2005,125007,127145
오스트리아,2006,136933,137388
오스트리아,2007,163839,163281
오스트리아,2008,181576,184335
오스트리아,2009,137050,143075
오스트리아,2010,152443,158928
오스트리아,2011,177490,191446
오스트리아,2012,166757,178658
오스트리아,2013,175118,183243
오스트리아,2014,178238,182092
오스트리아,2015,152759,156078
오스트리아,2016,152054,157657
오스트리아,2017,168059,175789
오스트리아,2018,184778,193682
오스트리아,2019,178660,184747
오스트리아,2020,168920,171944
벨기에,2000,187887,177005
벨기에,2001,190352,178718
벨기에,2002,215971,198223
벨기에,2003,255631,234962
벨기에,2004,306807,285611
벨기에,2005,334278,318589
벨기에,2006,366760,351571
벨기에,2007,431120,412012
벨기에,2008,473350,467382
벨기에,2009,371147,354782
벨기에,2010,407705,391275
벨기에,2011,475775,466916
벨기에,2012,446337,439536
벨기에,2013,468624,451580
벨기에,2014,472198,453706
벨기에,2015,396773,375541
벨기에,2016,398391,379428
벨기에,2017,429640,409210
벨기에,2018,468638,454968
벨기에,2019,446901,427845
벨기에,2020,419910,396125
체코,2000,28996,-
체코,2001,33399,-
체코,2002,38488,-
체코,2003,48709,-
체코,2004,67194,-
체코,2005,77985,76340
체코,2006,95143,93430
체코,2007,122760,118467
체코,2008,146406,142172
체코,2009,113176,105256
체코,2010,133020,126600
체코,2011,162897,152122
체코,2012,157167,141515
체코,2013,162302,144320
체코,2014,175017,154233
체코,2015,157881,141367
체코,2016,162716,143041
체코,2017,182236,163374
체코,2018,202751,185102
체코,2019,199676,179569
체코,2020,192574,171073
덴마크,2000,50380,44356
덴마크,2001,51068,44124
덴마크,2002,56304,48886
덴마크,2003,65267,56216
덴마크,2004,75620,66886
덴마크,2005,82278,72710
덴마크,2006,90903,84161
덴마크,2007,101942,97344
덴마크,2008,116331,109013
덴마크,2009,92115,80107
덴마크,2010,96220,82720
덴마크,2011,112706,96004
덴마크,2012,106102,91325
덴마크,2013,110470,97257
덴마크,2014,110739,99032
덴마크,2015,94567,85211
덴마크,2016,94731,84430
덴마크,2017,101573,92251
덴마크,2018,108524,101666
덴마크,2019,109989,97209
덴마크,2020,107227,96800
에스토니아,2000,3166,4234
에스토니아,2001,3314,4300
에스토니아,2002,3448,4811
에스토니아,2003,4539,6481
에스토니아,2004,5934,8334
에스토니아,2005,7698,10213
에스토니아,2006,9705,13472
에스토니아,2007,11018,15686
에스토니아,2008,12472,16059
에스토니아,2009,9065,10149
에스토니아,2010,11598,12286
에스토니아,2011,16728,17478
에스토니아,2012,16087,18092
에스토니아,2013,16316,18459
에스토니아,2014,16043,18296
에스토니아,2015,12836,14521
에스토니아,2016,13171,14959
에스토니아,2017,14558,16674
에스토니아,2018,17017,19140
에스토니아,2019,16112,18022
에스토니아,2020,16375,17335
핀란드,2000,45482,33900
핀란드,2001,42831,32156
핀란드,2002,44702,33661
핀란드,2003,52516,41602
핀란드,2004,60920,50679
핀란드,2005,65193,58435
핀란드,2006,77289,69449
핀란드,2007,90092,81756
핀란드,2008,96839,92108
핀란드,2009,62892,60887
핀란드,2010,69489,68769
핀란드,2011,79144,84252
핀란드,2012,73116,76560
핀란드,2013,74445,77589
핀란드,2014,74335,76767
핀란드,2015,59740,60437
핀란드,2016,57419,60848
핀란드,2017,67478,70596
핀란드,2018,75215,78635
핀란드,2019,72839,73718
핀란드,2020,65668,68085
프랑스,2000,298737,311022
프랑스,2001,299339,307640
프랑스,2002,312585,317448
프랑스,2003,368888,377051
프랑스,2004,418369,443662
프랑스,2005,441919,488868
프랑스,2006,491289,547224
프랑스,2007,553420,633577
프랑스,2008,611190,717300
프랑스,2009,476811,560652
프랑스,2010,514453,606624
프랑스,2011,585584,713863
프랑스,2012,559330,668453
프랑스,2013,570929,676639
프랑스,2014,571322,670282
프랑스,2015,496183,563561
프랑스,2016,488931,559214
프랑스,2017,525890,612136
프랑스,2018,570735,667876
프랑스,2019,559150,647361
프랑스,2020,478333,572028
독일,2000,550236,495463
독일,2001,571479,486073
독일,2002,616014,490486
독일,2003,751792,604715
독일,2004,909456,715863
독일,2005,969983,775620
독일,2006,1108901,907453
독일,2007,1322195,1055854
독일,2008,1449275,1185764
독일,2009,1120615,925805
독일,2010,1258391,1054196
독일,2011,1474040,1255007
독일,2012,1401668,1155552
독일,2013,1444913,1181116
독일,2014,1494234,1207209
독일,2015,1326206,1051132
독일,2016,1334343,1055316
독일,2017,1448178,1162898
독일,2018,1560537,1284352
독일,2019,1489430,1233994
독일,2020,1380378,1170726
그리스,2000,190229,179199
그리스,2001,88068,95299
그리스,2002,10332,31316
그리스,2003,13476,44228
그리스,2004,16642,56125
그리스,2005,18436,57728
그리스,2006,21532,67297
그리스,2007,26552,84851
그리스,2008,31281,96615
그리스,2009,25148,74069
그리스,2010,28017,65906
그리스,2011,33780,66705
그리스,2012,35324,61686
그리스,2013,36140,60859
그리스,2014,35961,61984
그리스,2015,28554,46786
그리스,2016,28151,46810
그리스,2017,32629,53496
그리스,2018,39501,63877
그리스,2019,37911,62520
그리스,2020,35170,55695
헝가리,2000,28006,31958
헝가리,2001,30533,33728
헝가리,2002,34508,37787
헝가리,2003,43060,47750
헝가리,2004,54893,59633
헝가리,2005,61767,65293
헝가리,2006,73500,75960
헝가리,2007,93980,94390
헝가리,2008,108212,108689
헝가리,2009,82658,77367
헝가리,2010,94768,87452
헝가리,2011,111297,101423
헝가리,2012,102879,94325
헝가리,2013,107858,99124
헝가리,2014,112204,103863
헝가리,2015,100287,90751
헝가리,2016,102981,92181
헝가리,2017,113675,104581
헝가리,2018,123815,117217
헝가리,2019,122059,116516
헝가리,2020,119412,110442
아이슬란드,2000,1896,2575
아이슬란드,2001,2013,2274
아이슬란드,2002,2231,2276
아이슬란드,2003,2381,2828
아이슬란드,2004,2889,3715
아이슬란드,2005,3092,4989
아이슬란드,2006,3465,6160
아이슬란드,2007,4243,6376
아이슬란드,2008,5376,6107
아이슬란드,2009,4056,3603
아이슬란드,2010,4606,3919
아이슬란드,2011,5344,4837
아이슬란드,2012,5063,4771
아이슬란드,2013,5001,5020
아이슬란드,2014,5091,5379
아이슬란드,2015,4768,5310
아이슬란드,2016,4490,5696
아이슬란드,2017,4904,6972
아이슬란드,2018,5612,7688
아이슬란드,2019,5238,6616
아이슬란드,2020,4594,5707
아일랜드,2000,77038,50893
아일랜드,2001,82806,50594
아일랜드,2002,87923,52082
아일랜드,2003,92830,53865
아일랜드,2004,104748,61851
아일랜드,2005,109617,68531
아일랜드,2006,108771,73143
아일랜드,2007,121502,83906
아일랜드,2008,125635,84131
아일랜드,2009,115571,62494
아일랜드,2010,117565,63253
아일랜드,2011,127476,73013
아일랜드,2012,118794,70576
아일랜드,2013,116731,73445
아일랜드,2014,121059,82017
아일랜드,2015,123361,76977
아일랜드,2016,130863,81185
아일랜드,2017,137358,93197
아일랜드,2018,164794,107669
아일랜드,2019,169585,100758
아일랜드,2020,178734,97969
이탈리아,2000,240262,239024
이탈리아,2001,244345,235712
이탈리아,2002,254611,246459
이탈리아,2003,297046,295006
이탈리아,2004,354255,355876
이탈리아,2005,373635,385286
이탈리아,2006,420342,446115
이탈리아,2007,499946,512772
이탈리아,2008,542113,561127
이탈리아,2009,405070,413905
이탈리아,2010,443973,485063
이탈리아,2011,525077,561063
이탈리아,2012,502407,490647
이탈리아,2013,520551,480928
