국가별,시점,외환보유액
오스트리아,2017,21574
오스트리아,2018,23207
오스트리아,2019,23600
오스트리아,2020,30470
벨기에,2000,12271
벨기에,2001,13560
벨기에,2002,14698
벨기에,2003,14449
벨기에,2004,13991
벨기에,2005,11996
벨기에,2006,13437
벨기에,2007,16506
벨기에,2008,15646
벨기에,2009,23982
벨기에,2010,26814
벨기에,2011,29432
벨기에,2012,30769
벨기에,2013,26924
벨기에,2014,25395
벨기에,2015,24099
벨기에,2016,23565
벨기에,2017,26159
벨기에,2018,26870
벨기에,2019,28957
벨기에,2020,33321
체코,2000,13142
체코,2001,14464
체코,2002,23710
체코,2003,26957
체코,2004,28449
체코,2005,29555
체코,2006,31454
체코,2007,34905
체코,2008,37013
체코,2009,41611
체코,2010,42493
체코,2011,40291
체코,2012,44883
체코,2013,56217
체코,2014,54493
체코,2015,64491
체코,2016,85729
체코,2017,147976
체코,2018,142512
체코,2019,149855
체코,2020,166113
덴마크,2000,15678
덴마크,2001,17667
덴마크,2002,27688
덴마크,2003,37977
덴마크,2004,40054
덴마크,2005,34028
덴마크,2006,31084
덴마크,2007,34324
덴마크,2008,42317
덴마크,2009,76653
덴마크,2010,76520
덴마크,2011,85047
덴마크,2012,89698
덴마크,2013,88667
덴마크,2014,75376
덴마크,2015,65187
덴마크,2016,64245
덴마크,2017,75244
덴마크,2018,70936
덴마크,2019,66818
덴마크,2020,72816
에스토니아,2000,923
에스토니아,2001,823
에스토니아,2002,1003
에스토니아,2003,1377
에스토니아,2004,1792
에스토니아,2005,1947
에스토니아,2006,2786
에스토니아,2007,3270
에스토니아,2008,3972
에스토니아,2009,3981
에스토니아,2010,2568
에스토니아,2011,207
에스토니아,2012,301
에스토니아,2013,314
에스토니아,2014,437
에스토니아,2015,415
에스토니아,2016,352
에스토니아,2017,345
에스토니아,2018,755
에스토니아,2019,1426
에스토니아,2020,1997
핀란드,2000,8410
핀란드,2001,8419
핀란드,2002,9825
핀란드,2003,11173
핀란드,2004,12914
핀란드,2005,11332
핀란드,2006,7499
핀란드,2007,8385
핀란드,2008,8346
핀란드,2009,11455
핀란드,2010,9555
핀란드,2011,10345
핀란드,2012,11082
핀란드,2013,11268
핀란드,2014,10669
핀란드,2015,10016
핀란드,2016,10484
핀란드,2017,10508
핀란드,2018,10312
핀란드,2019,11424
핀란드,2020,13485
프랑스,2000,63728
프랑스,2001,58637
프랑스,2002,61697
프랑스,2003,70762
프랑스,2004,77353
프랑스,2005,74360
프랑스,2006,98239
프랑스,2007,115717
프랑스,2008,102926
프랑스,2009,133078
프랑스,2010,166224
