국가별,시점,국내총생산
에스토니아,2007,16742
에스토니아,2008,18227
에스토니아,2009,14795
에스토니아,2010,14784
에스토니아,2011,17624
에스토니아,2012,17534
에스토니아,2013,19174
에스토니아,2014,20367
에스토니아,2015,17522
에스토니아,2016,18437
에스토니아,2017,20408
에스토니아,2018,23159
에스토니아,2019,23718
에스토니아,2020,23312
핀란드,2000,24285
핀란드,2001,24946
핀란드,2002,26870
핀란드,2003,32855
핀란드,2004,37703
핀란드,2005,39040
핀란드,2006,41188
핀란드,2007,48415
핀란드,2008,53554
핀란드,2009,47294
핀란드,2010,46460
핀란드,2011,51082
핀란드,2012,47711
핀란드,2013,49878
핀란드,2014,50260
핀란드,2015,42785
핀란드,2016,43784
핀란드,2017,46297
핀란드,2018,50013
핀란드,2019,48712
핀란드,2020,49041
프랑스,2000,22364
프랑스,2001,22434
프랑스,2002,24177
프랑스,2003,29568
프랑스,2004,33741
프랑스,2005,34760
프랑스,2006,36444
프랑스,2007,41508
프랑스,2008,45334
프랑스,2009,41575
프랑스,2010,40638
프랑스,2011,43791
프랑스,2012,40875
프랑스,2013,42593
프랑스,2014,43011
프랑스,2015,36638
프랑스,2016,37037
프랑스,2017,38685
프랑스,2018,41526
프랑스,2019,40380
프랑스,2020,38625
독일,2000,23636
독일,2001,23608
독일,2002,25078
독일,2003,30244
독일,2004,34044
독일,2005,34507
독일,2006,36323
독일,2007,41587
독일,2008,45427
독일,2009,41486
독일,2010,41532
독일,2011,46645
독일,2012,43858
독일,2013,46286
독일,2014,47960
독일,2015,41087
독일,2016,42108
독일,2017,44443
독일,2018,47787
독일,2019,46468
독일,2020,45724
그리스,2000,12043
그리스,2001,12538
그리스,2002,14110
그리스,2003,18478
그리스,2004,21955
그리스,2005,22552
그리스,2006,24801
그리스,2007,28827
그리스,2008,31997
그리스,2009,29711
그리스,2010,26691
그리스,2011,25451
그리스,2012,21915
그리스,2013,21749
그리스,2014,21602
그리스,2015,18050
그리스,2016,17885
그리스,2017,18562
그리스,2018,19766
그리스,2019,19151
그리스,2020,17676
헝가리,2000,4624
헝가리,2001,5276
헝가리,2002,6655
헝가리,2003,8421
헝가리,2004,10286
헝가리,2005,11201
헝가리,2006,11476
헝가리,2007,13919
헝가리,2008,15753
헝가리,2009,13046
헝가리,2010,13192
헝가리,2011,14216
헝가리,2012,12951
헝가리,2013,13688
헝가리,2014,14267
헝가리,2015,12707
헝가리,2016,13091
헝가리,2017,14606
헝가리,2018,16411
헝가리,2019,16733
헝가리,2020,15899
아이슬란드,2000,32096
아이슬란드,2001,28897
아이슬란드,2002,32409
아이슬란드,2003,39477
아이슬란드,2004,47335
아이슬란드,2005,56795
아이슬란드,2006,57493
아이슬란드,2007,69496
아이슬란드,2008,56943
아이슬란드,2009,41301
아이슬란드,2010,43237
아이슬란드,2011,47715
아이슬란드,2012,45996
아이슬란드,2013,49805
아이슬란드,2014,54577
아이슬란드,2015,52952
아이슬란드,2016,61988
아이슬란드,2017,72010
아이슬란드,2018,74348
아이슬란드,2019,68883
아이슬란드,2020,59261
아일랜드,2000,26246
아일랜드,2001,28240
아일랜드,2002,32540
아일랜드,2003,41101
아일랜드,2004,47645
아일랜드,2005,50891
아일랜드,2006,54283
아일랜드,2007,61337
아일랜드,2008,61213
아일랜드,2009,52009
아일랜드,2010,48698
아일랜드,2011,51887
아일랜드,2012,48915
아일랜드,2013,51577
아일랜드,2014,55587
아일랜드,2015,62000
아일랜드,2016,62994
아일랜드,2017,70413
아일랜드,2018,79298
아일랜드,2019,80779
아일랜드,2020,83813
이탈리아,2000,20088
이탈리아,2001,20483
이탈리아,2002,22270
이탈리아,2003,27466
이탈리아,2004,31260
이탈리아,2005,32043
이탈리아,2006,33502
이탈리아,2007,37823
이탈리아,2008,40778
이탈리아,2009,37080
이탈리아,2010,36001
이탈리아,2011,38599
이탈리아,2012,35054
이탈리아,2013,35550
이탈리아,2014,35518
이탈리아,2015,30230
이탈리아,2016,30940
이탈리아,2017,32327
이탈리아,2018,34609
이탈리아,2019,33567
이탈리아,2020,31676
라트비아,2000,3358
라트비아,2001,3573
라트비아,2002,4132
라트비아,2003,5135
라트비아,2004,6364
라트비아,2005,7575
라트비아,2006,9700
라트비아,2007,14091
라트비아,2008,16422
라트비아,2009,12288
라트비아,2010,11380
라트비아,2011,13776
라트비아,2012,13923
라트비아,2013,15123
라트비아,2014,15714
라트비아,2015,13775
라트비아,2016,14316
라트비아,2017,15643
라트비아,2018,17850
라트비아,2019,17794
라트비아,2020,17620
리히텐슈타인,2000,74854
리히텐슈타인,2001,74287
리히텐슈타인,2002,79346
리히텐슈타인,2003,89860
리히텐슈타인,2004,100289
리히텐슈타인,2005,105399
리히텐슈타인,2006,114374
리히텐슈타인,2007,130656
리히텐슈타인,2008,143264
리히텐슈타인,2009,126097
리히텐슈타인,2010,141193
리히텐슈타인,2011,158130
리히텐슈타인,2012,149010
리히텐슈타인,2013,173030
리히텐슈타인,2014,178865
리히텐슈타인,2015,167313
리히텐슈타인,2016,165642
리히텐슈타인,2017,171254
리히텐슈타인,2018,180367
리투아니아,2000,3293
리투아니아,2001,3526
리투아니아,2002,4142
리투아니아,2003,5499
리투아니아,2004,6700
리투아니아,2005,7855
리투아니아,2006,9231
리투아니아,2007,12285
리투아니아,2008,14945
리투아니아,2009,11821
리투아니아,2010,11988
리투아니아,2011,14377
리투아니아,2012,14368
리투아니아,2013,15730
리투아니아,2014,16551
리투아니아,2015,14258
리투아니아,2016,14998
리투아니아,2017,16844
리투아니아,2018,19167
리투아니아,2019,19555
리투아니아,2020,19998
룩셈부르크,2000,48736
룩셈부르크,2001,48179
룩셈부르크,2002,52931
룩셈부르크,2003,65446
룩셈부르크,2004,75716
룩셈부르크,2005,80290
룩셈부르크,2006,89740
룩셈부르크,2007,106018
룩셈부르크,2008,114294
룩셈부르크,2009,103199
룩셈부르크,2010,104965
룩셈부르크,2011,115762
룩셈부르크,2012,106749
룩셈부르크,2013,113625
룩셈부르크,2014,118824
룩셈부르크,2015,101376
룩셈부르크,2016,104278
룩셈부르크,2017,107361
룩셈부르크,2018,116597
룩셈부르크,2019,114685
룩셈부르크,2020,115874
네덜란드,2000,26149
네덜란드,2001,26873
네덜란드,2002,29204
네덜란드,2003,35672
네덜란드,2004,40362
네덜란드,2005,41979
네덜란드,2006,44863
네덜란드,2007,51733
네덜란드,2008,57644
네덜란드,2009,52514
네덜란드,2010,50950
네덜란드,2011,54159
네덜란드,2012,50073
네덜란드,2013,52184
네덜란드,2014,52830
네덜란드,2015,45175
네덜란드,2016,46008
네덜란드,2017,48555
네덜란드,2018,53019
네덜란드,2019,52295
네덜란드,2020,52304
노르웨이,2000,38131
노르웨이,2001,38543
노르웨이,2002,43084
노르웨이,2003,50135
노르웨이,2004,57604
노르웨이,2005,66810
노르웨이,2006,74148
노르웨이,2007,85140
노르웨이,2008,96944
노르웨이,2009,79978
노르웨이,2010,87694
노르웨이,2011,100601
노르웨이,2012,101524
노르웨이,2013,102913
노르웨이,2014,97019
노르웨이,2015,74356
노르웨이,2016,70461
노르웨이,2017,75497
노르웨이,2018,82268
노르웨이,2019,75826
노르웨이,2020,67294
폴란드,2000,4501
폴란드,2001,4991
폴란드,2002,5207
폴란드,2003,5702
폴란드,2004,6681
폴란드,2005,8022
폴란드,2006,9035
폴란드,2007,11255
폴란드,2008,13996
폴란드,2009,11526
폴란드,2010,12613
폴란드,2011,13880
폴란드,2012,13097
폴란드,2013,13696
폴란드,2014,14271
폴란드,2015,12578
폴란드,2016,12447
폴란드,2017,13865
폴란드,2018,15468
폴란드,2019,15695
폴란드,2020,15656
포르투갈,2000,11498
포르투갈,2001,11725
포르투갈,2002,12875
포르투갈,2003,15763
포르투갈,2004,18031
포르투갈,2005,18773
포르투갈,2006,19823
포르투갈,2007,22782
포르투갈,2008,24848
포르투갈,2009,23060
포르투갈,2010,22499
포르투갈,2011,23187
포르투갈,2012,20565
포르투갈,2013,21647
포르투갈,2014,22074
포르투갈,2015,19242
포르투갈,2016,19978
포르투갈,2017,21437
포르투갈,2018,23551
포르투갈,2019,23285
포르투갈,2020,22440
슬로바키아,2000,5413
슬로바키아,2001,5717
슬로바키아,2002,6534
슬로바키아,2003,8713
슬로바키아,2004,10672
슬로바키아,2005,11686
슬로바키아,2006,13160
슬로바키아,2007,16086
슬로바키아,2008,18677
슬로바키아,2009,16532
슬로바키아,2010,16751
슬로바키아,2011,18362
슬로바키아,2012,17482
슬로바키아,2013,18260
슬로바키아,2014,18674
슬로바키아,2015,16311
슬로바키아,2016,16509
슬로바키아,2017,17504
슬로바키아,2018,19365
슬로바키아,2019,19273
슬로바키아,2020,19157
슬로베니아,2000,10201
슬로베니아,2001,10480
슬로베니아,2002,11777
슬로베니아,2003,14849
슬로베니아,2004,17233
슬로베니아,2005,18099
슬로베니아,2006,19673
슬로베니아,2007,23788
슬로베니아,2008,27483
슬로베니아,2009,24694
슬로베니아,2010,23510
슬로베니아,2011,25095
슬로베니아,2012,22643
슬로베니아,2013,23497
슬로베니아,2014,24215
슬로베니아,2015,20882
슬로베니아,2016,21664
슬로베니아,2017,23455
슬로베니아,2018,26103
슬로베니아,2019,25941
슬로베니아,2020,25180
스페인,2000,14713
스페인,2001,15356
스페인,2002,17026
스페인,2003,21463
스페인,2004,24861
스페인,2005,26419
스페인,2006,28365
스페인,2007,32550
스페인,2008,35366
스페인,2009,32042
스페인,2010,30503
스페인,2011,31636
스페인,2012,28324
스페인,2013,29060
스페인,2014,29462
스페인,2015,25732
스페인,2016,26505
스페인,2017,28101
스페인,2018,30375
스페인,2019,29565
스페인,2020,27057
스웨덴,2000,29625
스웨덴,2001,27248
스웨덴,2002,29899
스웨덴,2003,37322
스웨덴,2004,42822
스웨덴,2005,43437
스웨덴,2006,46594
스웨덴,2007,53700
스웨덴,2008,56153
스웨덴,2009,46947
스웨덴,2010,52869
스웨덴,2011,60756
스웨덴,2012,58038
스웨덴,2013,61127
스웨덴,2014,60020
스웨덴,2015,51545
스웨덴,2016,51965
스웨덴,2017,53792
스웨덴,2018,54589
스웨덴,2019,51687
스웨덴,2020,51926
스위스,2000,38952
스위스,2001,39728
스위스,2002,42579
스위스,2003,49470
스위스,2004,54878
스위스,2005,56547
스위스,2006,59301
스위스,2007,65360
스위스,2008,74572
스위스,2009,72083
스위스,2010,77117
스위스,2011,91254
스위스,2012,86548
스위스,2013,88109
스위스,2014,89685
스위스,2015,84776
스위스,2016,83073
스위스,2017,83352
스위스,2018,86430
스위스,2019,85300
스위스,2020,86602
영국,2000,28156
영국,2001,27718
영국,2002,29983
영국,2003,34384
영국,2004,40209
영국,2005,41933
영국,2006,44473
영국,2007,50445
영국,2008,47267
영국,2009,38737
영국,2010,39537
영국,2011,42048
영국,2012,42449
영국,2013,43401
영국,2014,47452
영국,2015,45039
영국,2016,41048
영국,2017,40305
영국,2018,42993
영국,2019,42354
영국,2020,40285
오스트레일리아,2000,21679
오스트레일리아,2001,19491
오스트레일리아,2002,20082
오스트레일리아,2003,23447
오스트레일리아,2004,30431
오스트레일리아,2005,33999
오스트레일리아,2006,36045
오스트레일리아,2007,40960
오스트레일리아,2008,49602
오스트레일리아,2009,42772
오스트레일리아,2010,52022
오스트레일리아,2011,62518
오스트레일리아,2012,68012
오스트레일리아,2013,68150
